User,UserID,Query,TweetID,Created_At,Mention
california92_,268878622,Dodgers,1056295049309368321,2018-10-27 21:22:19,DodgersNation
crepuscularry,107645258,Dodgers,1056295047753330693,2018-10-27 21:22:19,lilysawtheboys
Njshjtj1,951217966544236544,Dodgers,1056295046767693824,2018-10-27 21:22:18,BTS_Spain
OCRegSports,28429659,Dodgers,1056295042392838144,2018-10-27 21:22:17,MLBONFOX
CoastCabCritic,825482821489795072,Dodgers,1056295027671003136,2018-10-27 21:22:14,levendiwinery
CoastCabCritic,825482821489795072,Dodgers,1056295027671003136,2018-10-27 21:22:14,BartlettBacchus
CoastCabCritic,825482821489795072,Dodgers,1056295027671003136,2018-10-27 21:22:14,onceuponawine_
alixoreo3,199094443,Dodgers,1056295009736183808,2018-10-27 21:22:09,Dodgers
CareyTheTorch,368795343,Dodgers,1056295006233739265,2018-10-27 21:22:09,DodgersNation
K1ngEarley,525777203,Dodgers,1056295005805932544,2018-10-27 21:22:09,LaDodgersTalk
mikeboada,135258012,Dodgers,1056295000231690241,2018-10-27 21:22:07,RedSox
mikeboada,135258012,Dodgers,1056295000231690241,2018-10-27 21:22:07,Dodgers
Sickassfoo626,1006722740,Dodgers,1056294997220196352,2018-10-27 21:22:07,MLBNetwork
Sickassfoo626,1006722740,Dodgers,1056294997220196352,2018-10-27 21:22:07,Dodgers
Sickassfoo626,1006722740,Dodgers,1056294997220196352,2018-10-27 21:22:07,maxmuncy9
BillsMafia1308,362665928,Dodgers,1056294994867175424,2018-10-27 21:22:06,SportsNetLA
SpaceeQueeen,831038458864889856,Dodgers,1056294988391231490,2018-10-27 21:22:04,buehlersdayoff
SpaceeQueeen,831038458864889856,Dodgers,1056294988391231490,2018-10-27 21:22:04,Dodgers
_pvalencia21,2224154800,Dodgers,1056294986164158469,2018-10-27 21:22:04,Dodgers
EfrainPower88,4808869117,Dodgers,1056294974935916545,2018-10-27 21:22:01,Jared_Carrabis
Shxwnu_,2908788343,Dodgers,1056294972595494912,2018-10-27 21:22:01,Dodgers
Ashlyn_Renner,172341908,Dodgers,1056294967390420996,2018-10-27 21:21:59,ComplexSports
MegaQuack24,2900104683,Dodgers,1056294963477135360,2018-10-27 21:21:58,nickjonas
MegaQuack24,2900104683,Dodgers,1056294963477135360,2018-10-27 21:21:58,Dodgers
MegaQuack24,2900104683,Dodgers,1056294963477135360,2018-10-27 21:21:58,ThomasRhett
wackydiva02,1252627422,Dodgers,1056294963141439488,2018-10-27 21:21:58,ABC7
ivettegonzxlez,3981860233,Dodgers,1056294961178566657,2018-10-27 21:21:58,Dodgers
__MarkLopez__,2172617268,Dodgers,1056294958515265536,2018-10-27 21:21:57,alannarizzo
leonidafs,25187170,Dodgers,1056294956975964160,2018-10-27 21:21:57,FernandoDelRio
seagerszn,917635324901081088,Dodgers,1056294956887760897,2018-10-27 21:21:57,Dodgers
debwebs75,934609958922084352,Dodgers,1056294949321408514,2018-10-27 21:21:55,WORLDMUSICAWARD
PauPauPaulina94,886296003992838145,Dodgers,1056294943256338432,2018-10-27 21:21:54,voguemagazine
ric2505,388604544,Dodgers,1056294941209456641,2018-10-27 21:21:53,VictorMendozaL
GordonGains,3222024284,Dodgers,1056294939582115841,2018-10-27 21:21:53,GONZALJ7
GordonGains,3222024284,Dodgers,1056294939582115841,2018-10-27 21:21:53,OBSNightmare
GordonGains,3222024284,Dodgers,1056294939582115841,2018-10-27 21:21:53,Dodgers
thomasmarinojr,23903376,Dodgers,1056294933592600576,2018-10-27 21:21:51,YahooSports
thomasmarinojr,23903376,Dodgers,1056294933592600576,2018-10-27 21:21:51,Dodgers
thomasmarinojr,23903376,Dodgers,1056294933592600576,2018-10-27 21:21:51,ClaytonKersh22
C_K_42,123783172,Dodgers,1056294931457867777,2018-10-27 21:21:51,YahooSports
C_K_42,123783172,Dodgers,1056294931457867777,2018-10-27 21:21:51,Dodgers
C_K_42,123783172,Dodgers,1056294931457867777,2018-10-27 21:21:51,ClaytonKersh22
C_K_42,123783172,Dodgers,1056294931457867777,2018-10-27 21:21:51,Steve_Perrault
Anne_P18,977773884886876161,Dodgers,1056294927792029697,2018-10-27 21:21:50,JavierLopezDiaz
NinaBeaner13,18094648,Dodgers,1056294921185910784,2018-10-27 21:21:48,trOJans_SUCk
Angel__Cee,763093656,Dodgers,1056294909131378688,2018-10-27 21:21:46,Dodgers
graciedodson_,715039938,Dodgers,1056294906774249472,2018-10-27 21:21:45,nickjonas
graciedodson_,715039938,Dodgers,1056294906774249472,2018-10-27 21:21:45,Dodgers
graciedodson_,715039938,Dodgers,1056294906774249472,2018-10-27 21:21:45,ThomasRhett
redcirclearmy,72669207,Dodgers,1056294895294402565,2018-10-27 21:21:42,LAPDStoecklein
redcirclearmy,72669207,Dodgers,1056294895294402565,2018-10-27 21:21:42,LAPDChiefMoore
22castrou,3096999978,Dodgers,1056294885194522624,2018-10-27 21:21:40,DodgersNation
DaveBismo,833063585328791552,Dodgers,1056294883214979075,2018-10-27 21:21:39,guerinaustin
AntheaKim1,982523931654406144,Dodgers,1056294882954735616,2018-10-27 21:21:39,chelsluvbts
MegaQuack24,2900104683,Dodgers,1056294879893032960,2018-10-27 21:21:39,Dodgers
Andreaaa__xo,609630145,Dodgers,1056294876768219136,2018-10-27 21:21:38,Dodgers
InTank4HBO,711763003,Dodgers,1056294867112878081,2018-10-27 21:21:35,TIME
HollywoodLonTV,1934893134,Dodgers,1056294864051232769,2018-10-27 21:21:35,voguemagazine
dettmers_alex,1645984045,Dodgers,1056294863132516352,2018-10-27 21:21:35,DarienJ4
markky_h,1010531651288477696,Dodgers,1056294863015198720,2018-10-27 21:21:35,MLBNetwork
markky_h,1010531651288477696,Dodgers,1056294863015198720,2018-10-27 21:21:35,Dodgers
markky_h,1010531651288477696,Dodgers,1056294863015198720,2018-10-27 21:21:35,maxmuncy9
onehotcorona,3183270631,Dodgers,1056294860246867968,2018-10-27 21:21:34,Jmadden98John
Trill_REALigion,173320191,Dodgers,1056294859236130821,2018-10-27 21:21:34,Dodgers
hesoulove,1017244800859492352,Dodgers,1056294857721946112,2018-10-27 21:21:33,voguemagazine
Cecil3695Cecil,1531185990,Dodgers,1056294853515116544,2018-10-27 21:21:32,Dodgers
jordangel23,204619563,Dodgers,1056294852239929344,2018-10-27 21:21:32,Dodgers
isai_angulo,3142602242,Dodgers,1056294847320023041,2018-10-27 21:21:31,eatchurheartup
isai_angulo,3142602242,Dodgers,1056294847320023041,2018-10-27 21:21:31,Dodgers
DodgerInsider,572325732,Dodgers,1056294832220463104,2018-10-27 21:21:27,Dodgers
mikespanj,809125126570528768,Dodgers,1056294831834652672,2018-10-27 21:21:27,Dodgers
robiie96,2584349461,Dodgers,1056294830307926017,2018-10-27 21:21:27,Dodgers
ImDanTorres,4252692794,Dodgers,1056294827686592512,2018-10-27 21:21:26,alannarizzo
ImDanTorres,4252692794,Dodgers,1056294827686592512,2018-10-27 21:21:26,RedSox
ImDanTorres,4252692794,Dodgers,1056294827686592512,2018-10-27 21:21:26,Dodgers
Avxly,836009867139670016,Dodgers,1056294824997879808,2018-10-27 21:21:25,Dodgers
bplucia1,2322719954,Dodgers,1056294822934470658,2018-10-27 21:21:25,voguemagazine
ShelbyK46871993,976436639185678336,Dodgers,1056294821760040960,2018-10-27 21:21:25,TheHSUpdate
MichaelAintHere,3032265219,Dodgers,1056294816328437760,2018-10-27 21:21:23,RealClancyBrown
MichaelAintHere,3032265219,Dodgers,1056294816328437760,2018-10-27 21:21:23,ManMadeMoon
joshrome15,2769426776,Dodgers,1056294816051421184,2018-10-27 21:21:23,DodgerInsider
_claross,2352708402,Dodgers,1056294813090246656,2018-10-27 21:21:23,LaDodgersTalk
Avxly,836009867139670016,Dodgers,1056294808933683205,2018-10-27 21:21:22,Dodgers
